link_name,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,label
"The Sit-In Survival Guide: Pillows, Pizza and Pastries",183,55,15,155,17,0,10,0,1,n
Former UN General Assembly President Dies Amid Bribery Case,75,12,9,53,0,2,0,20,0,n
Everything You Need to Know About Brexit and the UK Referendum,99,14,23,91,0,2,1,3,2,n
Abortion Requests in Latin America Rise After Zika Warnings,153,15,15,105,0,4,0,33,11,n
Prosecutor in Stanford Case Seeks Tougher Sex Assault Law,538,53,40,479,23,3,4,2,27,n
Four Men Not Guilty in Joel Osteen Church Heckling Case,537,75,66,430,35,14,45,4,9,n
F-16 Fighter Jets Escort Diverted Delta Flight to Tucson,272,28,90,234,0,30,0,7,1,n
New Details Emerge About Christina Grimmie's Killer,657,39,64,333,0,37,2,268,17,n
Google Improves Its Medical Symptoms Search Results,146,30,35,138,2,1,5,0,0,n
Mark Zuckerberg Puts Tape Over His Webcam,2766,280,889,2590,73,31,64,2,6,n
How the Zika Virus Threat Is Affecting Olympic Hopefuls' Plans,121,25,18,102,0,7,0,11,1,n
Chaos Erupts on House Floor Amid Gun Control Sit-In,817,316,247,562,130,23,68,9,25,n
"Man Who Stole $5 Worth of Food Ended Up in So-Called 'Debtors' Prison,' Lawsuit Claims",4498,1032,798,1286,4,205,6,1447,1550,n
"House Democrats Chant 'No Bill, No Break'",2423,555,766,1830,447,32,47,4,63,n
Fans Advised to 'Seek Shelter Immediately' During Copa America...,83,4,21,63,1,18,0,1,0,n
Former ISIS Captive Warns Congress 'Orlando Will Be Repeated',1700,413,1282,988,3,167,12,81,449,n
Democratic Congressman Offers Resignation After Conviction,446,204,173,336,2,26,16,6,60,n
Clinton Says Trump 'Hates It' That She's 'Gotten Under His Skin',2275,644,119,1780,195,6,245,3,46,n
Two Reasons Why Clinton May Not Want Warren as Her Running Mate,177,110,20,152,6,4,8,4,3,n
Bear That Walks Upright Like a Human Spotted Again in New Jersey,28157,2409,14457,21745,943,2681,2420,367,2,n
Dead Child's Dad Allegedly Took Her From Hot Car to Refrigerator,3317,713,1374,800,6,318,4,758,1431,n
Campaigners Tour England Before Brexit Vote,89,15,14,81,3,1,4,0,0,n
Dad Shocked by Paint Explosion All Over Kids and Their Bedroom,10016,1238,3175,5627,126,1577,2649,18,19,n
