epoch,accuracy,loss,val_accuracy,val_loss,,,,
0,0.909724474,0.472517133,0.697574914,1.274298549,,,,
0,0.93838197,0.941220939,0.939708292,0.154809564,0.946335852,0.97968936,0.979870021,0.063153751
1,0.975035131,0.974824429,0.974932492,0.069177091,0.915748894,0.993428886,0.974005401,0.126429796
2,0.980277002,0.982766092,0.981496513,0.052238181,0.968568087,0.994026303,0.989855766,0.031430457
3,0.986263573,0.985251188,0.985764444,0.042122226,0.91698736,0.996415794,0.975114942,0.0773395
4,0.986186802,0.987412214,0.986790895,0.038917065,0.987163842,0.964755058,0.987319708,0.037441436
5,0.987861454,0.989249051,0.988546729,0.035269611,0.990338147,0.97968936,0.992074788,0.018854463
6,0.988175571,0.988762856,0.988465667,0.034442864,0.98555088,0.977897227,0.990331292,0.030746669
7,0.989729166,0.989140987,0.989438117,0.031411823,0.990481853,0.994623661,0.996037424,0.011241789
8,0.990167499,0.990167499,0.990167499,0.02850569,0.987140238,0.962962985,0.986844182,0.040101778
9,0.990383565,0.990383565,0.990383565,0.029762002,0.978119433,0.988052547,0.990965307,0.028998004
